antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'count'}),frozenset({'class_anomaly'}),0.3644807875516037,0.4661400444585583,0.32276119402985076,0.8855369200609889,1.8997229064273553,1.0,0.1528621035162559,4.664036262399163,0.7452291493809482,0.6355322807566046,0.7855934337256624,0.7889747105627265
frozenset({'serror_rate'}),frozenset({'class_anomaly'}),0.2885439822165767,0.4661400444585583,0.27818355033343917,0.9640940982253404,2.0682498954690263,1.0,0.14368164563475466,14.86830657789553,0.7259752095914104,0.5838053982005998,0.9327428450065266,0.7804375796414958
frozenset({'srv_serror_rate'}),frozenset({'class_anomaly'}),0.2864401397268974,0.4661400444585583,0.27770720863766274,0.9695121951219512,2.0798732197489733,1.0,0.14418598917065115,17.510606541759273,0.7276214547418921,0.584803143024325,0.9428917554845858,0.7826356854005396
frozenset({'rerror_rate'}),frozenset({'class_anomaly'}),0.12412670689107654,0.4661400444585583,0.10026992696093998,0.8078030060761112,1.732962047949365,1.0,0.042409498292239126,2.7776706838237732,0.4828932691667657,0.2046338302009073,0.6399861200884374,0.5114549391276408
frozenset({'srv_rerror_rate'}),frozenset({'class_anomaly'}),0.1249603048586853,0.4661400444585583,0.09987297554779295,0.7992376111817027,1.7145868943957636,1.0,0.041623973485410394,2.6591631962728774,0.4762859740844947,0.20331313131313133,0.6239418470436058,0.5067464561060518
frozenset({'diff_srv_rate'}),frozenset({'class_anomaly'}),0.17128453477294378,0.4661400444585583,0.14619720546205145,0.8535341830822712,1.8310681376316595,1.0,0.06635462480792796,3.6449457407615866,0.5476797493707601,0.2976161616161616,0.7256474935094488,0.5835839185870353
frozenset({'dst_host_serror_rate'}),frozenset({'class_anomaly'}),0.2875119085423944,0.4661400444585583,0.2771911718005716,0.9641032721248103,2.0682695760340817,1.0,0.14317035797025496,14.872106376871828,0.7249300564529314,0.5817712238607016,0.9327600291001725,0.7793777026552691
frozenset({'dst_host_srv_serror_rate'}),frozenset({'class_anomaly'}),0.28147824706255953,0.4661400444585583,0.2770720863766275,0.9843463545339163,2.1116966161473574,1.0,0.14586380377676894,34.104513015715085,0.73268084731186,0.588830774422136,0.9706783674190214,0.7893715081875066
frozenset({'dst_host_rerror_rate'}),frozenset({'class_anomaly'}),0.13805970149253732,0.4661400444585583,0.10828834550651001,0.7843588269120184,1.6826677652701667,1.0,0.04393319011484338,2.4756865671641792,0.4706887687092966,0.21836228287841192,0.5960716460381863,0.5083337181481662
frozenset({'dst_host_srv_rerror_rate'}),frozenset({'class_anomaly'}),0.12519847570657353,0.4661400444585583,0.09701492537313433,0.7748890298034242,1.6623524175089723,1.0,0.03865490234112842,2.3715412672925456,0.4554665583579858,0.19625792981610857,0.5783332916059085,0.49150650928134254
frozenset({'protocol_type_icmp'}),frozenset({'class_anomaly'}),0.0656954588758336,0.4661400444585583,0.055335026992696094,0.8422960725075529,1.8069592658273246,1.0,0.024711742871589632,3.38520393264784,0.4779855752617342,0.11612795734755081,0.7045968219652221,0.4805025453230092
frozenset({'flag_REJ'}),frozenset({'class_anomaly'}),0.08796443315338202,0.4661400444585583,0.06752143537630995,0.7675992779783395,1.646713873016293,1.0,0.02651769059542057,2.2971527407375447,0.4306081626570639,0.13876651982378857,0.5646784899122855,0.45622576519201397
frozenset({'flag_S0'}),frozenset({'class_anomaly'}),0.2782232454747539,0.4661400444585583,0.27504763416957767,0.98858610358111,2.120792056664849,1.0,0.1453566381545715,46.77280535487451,0.7321904585654957,0.5860610674109787,0.9786200551279145,0.7893198762817413
frozenset({'service_eco_i'}),frozenset({'class_anomaly'}),0.0360828834550651,0.4661400444585583,0.032391235312797716,0.8976897689768978,1.9257941463055446,1.0,0.015571558414860694,5.218050533195386,0.49872929137062727,0.06894221020615074,0.8083575477779767,0.4835889873582437
frozenset({'service_ecr_i'}),frozenset({'class_anomaly'}),0.024333121625912987,0.4661400444585583,0.022824706255954272,0.9380097879282219,2.0122917974527605,1.0,0.011482063859435686,8.612004019655364,0.5156003445854273,0.04880740174857822,0.8838830082153145,0.4934875644912335
frozenset({'service_private'}),frozenset({'class_anomaly'}),0.1727135598602731,0.4661400444585583,0.16481422673864718,0.9542633877269593,2.047160288139109,1.0,0.08430552026678362,11.672485761612117,0.6183087745097088,0.3476804555350863,0.9143284455065476,0.6539178643480237
